date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-18T18:30:00Z,1,Bremen,Bayern,0,4,0,1,4,Bayern,Bremen,Felix Zwayer
2023-08-19T13:30:00Z,1,Leverkusen,RB Leipzig,3,2,2,1,1,Leverkusen,RB Leipzig,Felix Brych
2023-08-19T13:30:00Z,1,Wolfsburg,Heidenheim,2,0,2,0,2,Wolfsburg,Heidenheim,Florian Badstübner
2023-08-19T13:30:00Z,1,Hoffenheim,Freiburg,1,2,0,2,1,Freiburg,Hoffenheim,Sven Jablonski
2023-08-19T13:30:00Z,1,Augsburg,M'gladbach,4,4,3,3,0,DRAW,DRAW,Daniel Schlager
2023-08-19T13:30:00Z,1,Stuttgart,Bochum,5,0,2,0,5,Stuttgart,Bochum,Daniel Siebert
2023-08-19T16:30:00Z,1,Dortmund,1. FC Köln,1,0,0,0,1,Dortmund,1. FC Köln,Deniz Aytekin
2023-08-20T13:30:00Z,1,Union Berlin,Mainz,4,1,2,0,3,Union Berlin,Mainz,Tobias Stieler
2023-08-20T15:30:00Z,1,Frankfurt,Darmstadt,1,0,1,0,1,Frankfurt,Darmstadt,Harm Osmers
2023-08-25T18:30:00Z,2,RB Leipzig,Stuttgart,5,1,0,1,4,RB Leipzig,Stuttgart,Frank Willenborg
2023-08-26T13:30:00Z,2,Freiburg,Bremen,1,0,0,0,1,Freiburg,Bremen,Benjamin Brand
2023-08-26T13:30:00Z,2,1. FC Köln,Wolfsburg,1,2,0,0,1,Wolfsburg,1. FC Köln,Matthias Jöllenbeck
2023-08-26T13:30:00Z,2,Bochum,Dortmund,1,1,1,0,0,DRAW,DRAW,Robert Schröder
2023-08-26T13:30:00Z,2,Heidenheim,Hoffenheim,2,3,1,0,1,Hoffenheim,Heidenheim,Robert Hartmann
2023-08-26T13:30:00Z,2,Darmstadt,Union Berlin,1,4,1,3,3,Union Berlin,Darmstadt,Patrick Ittrich
2023-08-26T16:30:00Z,2,M'gladbach,Leverkusen,0,3,0,2,3,Leverkusen,M'gladbach,Christian Dingert
2023-08-27T13:30:00Z,2,Mainz,Frankfurt,1,1,1,0,0,DRAW,DRAW,Bastian Dankert
2023-08-27T15:30:00Z,2,Bayern,Augsburg,3,1,2,0,2,Bayern,Augsburg,Daniel Siebert
2023-09-01T18:30:00Z,3,Dortmund,Heidenheim,2,2,2,0,0,DRAW,DRAW,Tobias Reichel
2023-09-02T13:30:00Z,3,Leverkusen,Darmstadt,5,1,1,1,4,Leverkusen,Darmstadt,Sven Jablonski
2023-09-02T13:30:00Z,3,Hoffenheim,Wolfsburg,3,1,1,1,2,Hoffenheim,Wolfsburg,Felix Zwayer
2023-09-02T13:30:00Z,3,Bremen,Mainz,4,0,1,0,4,Bremen,Mainz,Robert Schröder
2023-09-02T13:30:00Z,3,Augsburg,Bochum,2,2,1,1,0,DRAW,DRAW,Martin Petersen
2023-09-02T13:30:00Z,3,Stuttgart,Freiburg,5,0,3,0,5,Stuttgart,Freiburg,Felix Brych
2023-09-02T16:30:00Z,3,M'gladbach,Bayern,1,2,1,0,1,Bayern,M'gladbach,Deniz Aytekin
2023-09-03T13:30:00Z,3,Frankfurt,1. FC Köln,1,1,0,1,0,DRAW,DRAW,Florian Badstübner
2023-09-03T15:30:00Z,3,Union Berlin,RB Leipzig,0,3,0,0,3,RB Leipzig,Union Berlin,Daniel Schlager
2023-09-15T18:30:00Z,4,Bayern,Leverkusen,2,2,1,1,0,DRAW,DRAW,Daniel Schlager
2023-09-16T13:30:00Z,4,RB Leipzig,Augsburg,3,0,3,0,3,RB Leipzig,Augsburg,Sascha Stegemann
2023-09-16T13:30:00Z,4,Freiburg,Dortmund,2,4,2,1,2,Dortmund,Freiburg,Tobias Stieler
2023-09-16T13:30:00Z,4,Wolfsburg,Union Berlin,2,1,2,1,1,Wolfsburg,Union Berlin,Felix Brych
2023-09-16T13:30:00Z,4,Mainz,Stuttgart,1,3,0,0,2,Stuttgart,Mainz,Harm Osmers
2023-09-16T13:30:00Z,4,1. FC Köln,Hoffenheim,1,3,0,2,2,Hoffenheim,1. FC Köln,Daniel Siebert
2023-09-16T16:30:00Z,4,Bochum,Frankfurt,1,1,0,0,0,DRAW,DRAW,Benjamin Brand
2023-09-17T13:30:00Z,4,Heidenheim,Bremen,4,2,2,0,2,Heidenheim,Bremen,Patrick Ittrich
2023-09-17T15:30:00Z,4,Darmstadt,M'gladbach,3,3,3,0,0,DRAW,DRAW,Timo Gerach
2023-09-22T18:30:00Z,5,Stuttgart,Darmstadt,3,1,2,1,2,Stuttgart,Darmstadt,Matthias Jöllenbeck
2023-09-23T13:30:00Z,5,Bayern,Bochum,7,0,4,0,7,Bayern,Bochum,Robert Hartmann
2023-09-23T13:30:00Z,5,Dortmund,Wolfsburg,1,0,0,0,1,Dortmund,Wolfsburg,Sven Jablonski
2023-09-23T13:30:00Z,5,Union Berlin,Hoffenheim,0,2,0,2,2,Hoffenheim,Union Berlin,Deniz Aytekin
2023-09-23T13:30:00Z,5,M'gladbach,RB Leipzig,0,1,0,0,1,RB Leipzig,M'gladbach,Robert Schröder
2023-09-23T13:30:00Z,5,Augsburg,Mainz,2,1,2,1,1,Augsburg,Mainz,Marco Fritz
2023-09-23T16:30:00Z,5,Bremen,1. FC Köln,2,1,1,1,1,Bremen,1. FC Köln,Bastian Dankert
2023-09-24T13:30:00Z,5,Leverkusen,Heidenheim,4,1,1,0,3,Leverkusen,Heidenheim,Christian Dingert
2023-09-24T15:30:00Z,5,Frankfurt,Freiburg,0,0,0,0,0,DRAW,DRAW,Felix Zwayer
2023-09-29T18:30:00Z,6,Hoffenheim,Dortmund,1,3,1,2,2,Dortmund,Hoffenheim,Florian Badstübner
2023-09-30T13:30:00Z,6,Wolfsburg,Frankfurt,2,0,1,0,2,Wolfsburg,Frankfurt,Frank Willenborg
2023-09-30T13:30:00Z,6,Mainz,Leverkusen,0,3,0,1,3,Leverkusen,Mainz,Benjamin Brand
2023-09-30T13:30:00Z,6,1. FC Köln,Stuttgart,0,2,0,0,2,Stuttgart,1. FC Köln,Tobias Stieler
2023-09-30T13:30:00Z,6,Bochum,M'gladbach,1,3,0,3,2,M'gladbach,Bochum,Felix Brych
2023-09-30T13:30:00Z,6,Heidenheim,Union Berlin,1,0,0,0,1,Heidenheim,Union Berlin,Sascha Stegemann
2023-09-30T16:30:00Z,6,RB Leipzig,Bayern,2,2,2,0,0,DRAW,DRAW,Marco Fritz
2023-10-01T13:30:00Z,6,Darmstadt,Bremen,4,2,2,0,2,Darmstadt,Bremen,Martin Petersen
