date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T17:30:00Z,1,Almería,Rayo Vallecano,0,2,0,2,2,Rayo Vallecano,Almería,Javier Alberola Rojas
2023-08-11T20:00:00Z,1,Sevilla FC,Valencia,1,2,0,0,1,Valencia,Sevilla FC,José Sánchez Martínez
2023-08-12T15:00:00Z,1,Real Sociedad,Girona,1,1,1,0,0,DRAW,DRAW,Francisco Hernández Maeso
2023-08-12T17:30:00Z,1,Las Palmas,Mallorca,1,1,1,0,0,DRAW,DRAW,Víctor García Verdura
2023-08-12T19:30:00Z,1,Athletic,Real Madrid,0,2,0,2,2,Real Madrid,Athletic,Jesús Gil Manzano
2023-08-13T15:00:00Z,1,Celta,Osasuna,0,2,0,1,2,Osasuna,Celta,Pablo González Fuertes
2023-08-13T17:30:00Z,1,Villarreal,Real Betis,1,2,0,1,1,Real Betis,Villarreal,Miguel Ortiz Arias
2023-08-13T19:30:00Z,1,Getafe,Barça,0,0,0,0,0,DRAW,DRAW,César Soto Grado
2023-08-14T17:30:00Z,1,Cádiz CF,Alavés,1,0,1,0,1,Cádiz CF,Alavés,Isidro Díaz de Mera
2023-08-14T19:30:00Z,1,Atleti,Granada,3,1,1,0,2,Atleti,Granada,Juan Pulido Santana
2023-08-18T17:30:00Z,2,Mallorca,Villarreal,0,1,0,0,1,Villarreal,Mallorca,Javier Alberola Rojas
2023-08-18T19:30:00Z,2,Valencia,Las Palmas,1,0,0,0,1,Valencia,Las Palmas,Javier Iglesias Villanueva
2023-08-19T15:00:00Z,2,Real Sociedad,Celta,1,1,1,0,0,DRAW,DRAW,Miguel Ortiz Arias
2023-08-19T17:30:00Z,2,Almería,Real Madrid,1,3,1,1,2,Real Madrid,Almería,José Sánchez Martínez
2023-08-19T19:30:00Z,2,Osasuna,Athletic,0,2,0,2,2,Athletic,Osasuna,José Munuera Montero
2023-08-20T17:00:00Z,2,Girona,Getafe,3,0,1,0,3,Girona,Getafe,Jorge Figueroa Vázquez
2023-08-20T17:30:00Z,2,Barça,Cádiz CF,2,0,0,0,2,Barça,Cádiz CF,Alejandro Muñiz Ruiz
2023-08-20T19:30:00Z,2,Real Betis,Atleti,0,0,0,0,0,DRAW,DRAW,Ricardo de Burgos
2023-08-21T17:00:00Z,2,Alavés,Sevilla FC,4,3,2,2,1,Alavés,Sevilla FC,Guillermo Cuadra Fernández
2023-08-21T19:30:00Z,2,Granada,Rayo Vallecano,0,2,0,0,2,Rayo Vallecano,Granada,Pablo González Fuertes
2023-08-25T17:30:00Z,3,Las Palmas,Real Sociedad,0,0,0,0,0,DRAW,DRAW,Guillermo Cuadra Fernández
2023-08-25T19:30:00Z,3,Celta,Real Madrid,0,1,0,0,1,Real Madrid,Celta,Isidro Díaz de Mera
2023-08-26T17:00:00Z,3,Cádiz CF,Almería,1,1,0,0,0,DRAW,DRAW,Víctor García Verdura
2023-08-26T17:30:00Z,3,Granada,Mallorca,3,2,1,1,1,Granada,Mallorca,Francisco Hernández Maeso
2023-08-26T19:30:00Z,3,Sevilla FC,Girona,1,2,1,1,1,Girona,Sevilla FC,Jesús Gil Manzano
2023-08-27T15:30:00Z,3,Villarreal,Barça,3,4,2,2,1,Barça,Villarreal,Alejandro Hernández Hernández
2023-08-27T17:30:00Z,3,Valencia,Osasuna,1,2,0,1,1,Osasuna,Valencia,Juan Pulido Santana
2023-08-27T19:30:00Z,3,Athletic,Real Betis,4,2,3,2,2,Athletic,Real Betis,César Soto Grado
