date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T19:00:00Z,1,Nice,Lille,1,1,1,0,0,DRAW,DRAW,Benoît Bastien
2023-08-12T15:00:00Z,1,Marseille,Stade de Reims,2,1,1,1,1,Marseille,Stade de Reims,Eric Wattellier
2023-08-12T19:00:00Z,1,PSG,Lorient,0,0,0,0,0,DRAW,DRAW,Bastien Dechepy
2023-08-13T11:00:00Z,1,Brest,RC Lens,3,2,1,2,1,Brest,RC Lens,Jérémie Pignard
2023-08-13T13:00:00Z,1,Clermont Foot,Monaco,2,4,1,2,2,Monaco,Clermont Foot,François Letexier
2023-08-13T13:00:00Z,1,Nantes,Toulouse,1,2,1,0,1,Toulouse,Nantes,Willy Delajod
2023-08-13T13:00:00Z,1,Montpellier,Le Havre,2,2,0,1,0,DRAW,DRAW,Clément Turpin
2023-08-13T15:05:00Z,1,Stade Rennais,FC Metz,5,1,1,1,4,Stade Rennais,FC Metz,Jeremy Stinat
2023-08-13T18:45:00Z,1,Strasbourg,Olympique Lyon,2,1,0,0,1,Strasbourg,Olympique Lyon,Jérôme Brisard
2023-08-18T19:00:00Z,2,FC Metz,Marseille,2,2,0,1,0,DRAW,DRAW,Jérôme Brisard
2023-08-19T17:00:00Z,2,Olympique Lyon,Montpellier,1,4,0,2,3,Montpellier,Olympique Lyon,Mathieu Vernice
2023-08-19T19:00:00Z,2,Toulouse,PSG,1,1,0,0,0,DRAW,DRAW,Thomas Léonard
2023-08-20T11:00:00Z,2,Lille,Nantes,2,0,0,0,2,Lille,Nantes,Pierre Gaillouste
2023-08-20T13:00:00Z,2,Le Havre,Brest,1,2,0,1,1,Brest,Le Havre,Florent Batta
2023-08-20T13:00:00Z,2,Lorient,Nice,1,1,0,0,0,DRAW,DRAW,Hakim Ben El Hadj Salem
